Text,Image
urn:cts:greekLit:tlg0012.tlg001.msA:12.76,"urn:cite:hmt:vaimg.VA156RN-0327@0.1832,0.1976,0.3934,0.0353"
urn:cts:greekLit:tlg0012.tlg001.msA:12.77,"urn:cite:hmt:vaimg.VA156RN-0327@0.1792,0.2186,0.3714,0.0346"
urn:cts:greekLit:tlg0012.tlg001.msA:12.78,"urn:cite:hmt:vaimg.VA156RN-0327@0.1782,0.2367,0.3984,0.0338"
urn:cts:greekLit:tlg0012.tlg001.msA:12.79,"urn:cite:hmt:vaimg.VA156RN-0327@0.1762,0.2765,0.4384,0.0248"
urn:cts:greekLit:tlg0012.tlg001.msA:12.80,"urn:cite:hmt:vaimg.VA156RN-0327@0.1782,0.2945,0.4034,0.0263"
urn:cts:greekLit:tlg0012.tlg001.msA:12.81,"urn:cite:hmt:vaimg.VA156RN-0327@0.1772,0.2953,0.3914,0.0293"
urn:cts:greekLit:tlg0012.tlg001.msA:12.82,"urn:cite:hmt:vaimg.VA156RN-0327@0.1712,0.3133,0.4014,0.0301"
urn:cts:greekLit:tlg0012.tlg001.msA:12.83,"urn:cite:hmt:vaimg.VA156RN-0327@0.1742,0.3306,0.4274,0.0353"
urn:cts:greekLit:tlg0012.tlg001.msA:12.84,"urn:cite:hmt:vaimg.VA156RN-0327@0.1742,0.3561,0.4074,0.0248"
urn:cts:greekLit:tlg0012.tlg001.msA:12.85,"urn:cite:hmt:vaimg.VA156RN-0327@0.1702,0.3727,0.4474,0.0308"
urn:cts:greekLit:tlg0012.tlg001.msA:12.86,"urn:cite:hmt:vaimg.VA156RN-0327@0.1742,0.3907,0.3884,0.0301"
urn:cts:greekLit:tlg0012.tlg001.msA:12.87,"urn:cite:hmt:vaimg.VA156RN-0327@0.1742,0.4102,0.4354,0.0263"
urn:cts:greekLit:tlg0012.tlg001.msA:12.88,"urn:cite:hmt:vaimg.VA156RN-0327@0.1732,0.4298,0.4615,0.0255"
urn:cts:greekLit:tlg0012.tlg001.msA:12.89,"urn:cite:hmt:vaimg.VA156RN-0327@0.1722,0.4478,0.4454,0.0293"
urn:cts:greekLit:tlg0012.tlg001.msA:12.90,"urn:cite:hmt:vaimg.VA156RN-0327@0.1712,0.4681,0.4454,0.027"
urn:cts:greekLit:tlg0012.tlg001.msA:12.91,"urn:cite:hmt:vaimg.VA156RN-0327@0.1712,0.4853,0.4615,0.0353"
urn:cts:greekLit:tlg0012.tlg001.msA:12.92,"urn:cite:hmt:vaimg.VA156RN-0327@0.1742,0.5071,0.4374,0.0278"
urn:cts:greekLit:tlg0012.tlg001.msA:12.93,"urn:cite:hmt:vaimg.VA156RN-0327@0.1672,0.5252,0.4635,0.0285"
urn:cts:greekLit:tlg0012.tlg001.msA:12.94,"urn:cite:hmt:vaimg.VA156RN-0327@0.1682,0.5447,0.4404,0.0285"
urn:cts:greekLit:tlg0012.tlg001.msA:12.95,"urn:cite:hmt:vaimg.VA156RN-0327@0.1702,0.562,0.4254,0.0293"
urn:cts:greekLit:tlg0012.tlg001.msA:12.96,"urn:cite:hmt:vaimg.VA156RN-0327@0.1532,0.5823,0.4635,0.0255"
urn:cts:greekLit:tlg0012.tlg001.msA:12.97,"urn:cite:hmt:vaimg.VA156RN-0327@0.1662,0.598,0.4404,0.0323"
urn:cts:greekLit:tlg0012.tlg001.msA:12.98,"urn:cite:hmt:vaimg.VA156RN-0327@0.1642,0.6198,0.4054,0.0278"
urn:cts:greekLit:tlg0012.tlg001.msA:12.99,"urn:cite:hmt:vaimg.VA156RN-0327@0.1662,0.6401,0.3754,0.0248"
urn:cts:greekLit:tlg0012.tlg001.msA:12.100,"urn:cite:hmt:vaimg.VA156RN-0327@0.1642,0.6529,0.4474,0.0338"
urn:cts:greekLit:tlg0012.tlg001.msA:12.303,"urn:cite:hmt:vaimg.VA160VN-0662@0.4765,0.2179,0.4224,0.027"
urn:cts:greekLit:tlg0012.tlg001.msA:12.304,"urn:cite:hmt:vaimg.VA160VN-0662@0.4785,0.2412,0.4004,0.027"
urn:cts:greekLit:tlg0012.tlg001.msA:12.305,"urn:cite:hmt:vaimg.VA160VN-0662@0.4705,0.2592,0.4004,0.027"
urn:cts:greekLit:tlg0012.tlg001.msA:12.306,"urn:cite:hmt:vaimg.VA160VN-0662@0.4705,0.2795,0.4004,0.0248"
urn:cts:greekLit:tlg0012.tlg001.msA:12.307,"urn:cite:hmt:vaimg.VA160VN-0662@0.4715,0.2968,0.4174,0.0248"
urn:cts:greekLit:tlg0012.tlg001.msA:12.308,"urn:cite:hmt:vaimg.VA160VN-0662@0.4725,0.3163,0.4174,0.0255"
urn:cts:greekLit:tlg0012.tlg001.msA:12.309,"urn:cite:hmt:vaimg.VA160VN-0662@0.4725,0.3358,0.4314,0.0255"
urn:cts:greekLit:tlg0012.tlg001.msA:12.310,"urn:cite:hmt:vaimg.VA160VN-0662@0.4695,0.3524,0.3814,0.0285"
urn:cts:greekLit:tlg0012.tlg001.msA:12.311,"urn:cite:hmt:vaimg.VA160VN-0662@0.4725,0.3727,0.4144,0.024"
urn:cts:greekLit:tlg0012.tlg001.msA:12.312,"urn:cite:hmt:vaimg.VA160VN-0662@0.4695,0.3922,0.4144,0.024"
urn:cts:greekLit:tlg0012.tlg001.msA:12.313,"urn:cite:hmt:vaimg.VA160VN-0662@0.4705,0.411,0.4484,0.027"
urn:cts:greekLit:tlg0012.tlg001.msA:12.314,"urn:cite:hmt:vaimg.VA160VN-0662@0.4685,0.429,0.4064,0.0255"
urn:cts:greekLit:tlg0012.tlg001.msA:12.315,"urn:cite:hmt:vaimg.VA160VN-0662@0.4745,0.4485,0.4244,0.0255"
urn:cts:greekLit:tlg0012.tlg001.msA:12.316,"urn:cite:hmt:vaimg.VA160VN-0662@0.4745,0.4673,0.4324,0.0233"
urn:cts:greekLit:tlg0012.tlg001.msA:12.317,"urn:cite:hmt:vaimg.VA160VN-0662@0.4825,0.4876,0.4414,0.021"
urn:cts:greekLit:tlg0012.tlg001.msA:12.318,"urn:cite:hmt:vaimg.VA160VN-0662@0.4745,0.5034,0.4254,0.024"
urn:cts:greekLit:tlg0012.tlg001.msA:12.319,"urn:cite:hmt:vaimg.VA160VN-0662@0.4745,0.5207,0.4074,0.0248"
urn:cts:greekLit:tlg0012.tlg001.msA:12.320,"urn:cite:hmt:vaimg.VA160VN-0662@0.4775,0.5402,0.4074,0.0278"
urn:cts:greekLit:tlg0012.tlg001.msA:12.321,"urn:cite:hmt:vaimg.VA160VN-0662@0.4785,0.5597,0.4144,0.0255"
